CodigoTerritorial,CodigoMesa,Mesa,NroVotantes
10701,10701019005,5,505
10701,10701019006,6,653
10701,10701019007,7,560
10701,10701019008,8,604
10702,10702020001,1,162
10702,10702020002,2,71
10702,10702020003,3,936
10702,10702020004,4,637
10702,10702020005,5,875
10702,10702020006,6,707
10702,10702020007,7,247
10702,10702020008,8,521
10702,10702020009,9,274
10702,10702020010,10,42
10702,10702020011,11,144
10702,10702020012,12,342
10702,10702020013,13,834
10702,10702020014,14,72
10703,10703021001,1,660
10704,10704022001,1,887
10704,10704022002,2,519
10704,10704022003,3,120
10704,10704022004,4,518
10704,10704022005,5,501
10704,10704022006,6,342
10704,10704022007,7,602
10704,10704022008,8,752
10704,10704022009,9,182
10704,10704022010,10,340
10704,10704022011,11,902
10704,10704022012,12,776
10704,10704022013,13,117
10704,10704022014,14,781
10801,10801023001,1,28
10801,10801023002,2,411
10801,10801023003,3,534
10801,10801023004,4,849
10801,10801023005,5,700
10801,10801023006,6,583
10801,10801023007,7,997
10801,10801023008,8,434
10801,10801023009,9,730
10801,10801023010,10,729
10801,10801023011,11,698
10801,10801023012,12,843
10801,10801023013,13,575
10801,10801023014,14,813
10801,10801023015,15,663
10801,10801023016,16,130
10801,10801023017,17,257
10801,10801023018,18,743
10901,10901024001,1,21
10901,10901024002,2,724
10901,10901024003,3,120
10901,10901024004,4,597
10901,10901024005,5,577
10901,10901024006,6,341
10901,10901024007,7,462
10901,10901024008,8,62
10901,10901024009,9,878
10901,10901024010,10,185
10902,10902025001,1,331
10902,10902025002,2,972
10902,10902025003,3,419
10902,10902025004,4,74
10902,10902025005,5,518
10902,10902025006,6,60
10902,10902025007,7,324
10902,10902025008,8,571
10902,10902025009,9,557
10902,10902025010,10,862
10902,10902025011,11,136
10902,10902025012,12,507
10902,10902025013,13,601
10902,10902025014,14,280
10902,10902025015,15,712
10902,10902025016,16,310
10902,10902025017,17,855
10903,10903026001,1,135
10903,10903026002,2,65
10903,10903026003,3,819
10903,10903026004,4,938
10903,10903026005,5,189
10903,10903026006,6,994
10903,10903026007,7,385
10903,10903026008,8,348
10903,10903026009,9,933
10903,10903026010,10,10
11001,11001027001,1,785
11001,11001027002,2,605
11001,11001027003,3,512
11001,11001027004,4,490
11001,11001027005,5,383
11001,11001027006,6,873
11001,11001027007,7,890
11001,11001027008,8,17
11001,11001027009,9,353
11001,11001027010,10,314
11001,11001027011,11,435
11001,11001027012,12,820
11001,11001027013,13,211
11001,11001027014,14,213
11001,11001027015,15,61
11001,11001027016,16,934
11001,11001027017,17,106
11001,11001027018,18,977
11001,11001027019,19,386
11001,11001027020,20,735
11002,11002028001,1,885
11002,11002028002,2,163
11002,11002028003,3,866
11002,11002028004,4,350
11002,11002028005,5,407
11002,11002028006,6,104
11002,11002028007,7,417
11002,11002028008,8,476
11002,11002028009,9,444
11002,11002028010,10,217
11002,11002028011,11,153
11002,11002028012,12,698
11002,11002028013,13,561
11002,11002028014,14,15
11003,11003029001,1,540
11003,11003029002,2,135
11003,11003029003,3,763
11003,11003029004,4,173
11003,11003029005,5,243
11003,11003029006,6,650
11003,11003029007,7,838
11003,11003029008,8,619
11003,11003029009,9,488
11003,11003029010,10,180
11003,11003029011,11,649
11003,11003029012,12,128
11003,11003029013,13,951
11003,11003029014,14,37
11003,11003029015,15,169
11003,11003029016,16,284
11003,11003029017,17,554
11003,11003029018,18,321
20101,20101030001,1,792
20101,20101030002,2,48
20101,20101030003,3,287
20101,20101030004,4,824
20101,20101030005,5,446
20101,20101030006,6,652
20101,20101030007,7,387
20101,20101030008,8,477
20101,20101030009,9,793
20102,20102031001,1,860
20103,20103032001,1,129
20103,20103032002,2,315
20103,20103032003,3,363
20103,20103032004,4,677
20103,20103032005,5,946
20103,20103032006,6,973
20103,20103032007,7,246
20103,20103032008,8,756
20103,20103032009,9,229
20103,20103032010,10,604
20103,20103032011,11,462
20103,20103032012,12,592
20103,20103032013,13,490
20103,20103032014,14,852
20104,20104033001,1,813
20104,20104033002,2,969
20104,20104033003,3,129
20104,20104033004,4,383
20104,20104033005,5,144
20104,20104033006,6,343
20104,20104033007,7,755
20104,20104033008,8,575
20105,20105034001,1,959
20105,20105034002,2,626
20105,20105034003,3,524
20105,20105034004,4,690
20105,20105034005,5,421
20105,20105034006,6,451
20105,20105034007,7,382
20105,20105034008,8,646
20105,20105034009,9,973
20105,20105034010,10,52
20105,20105034011,11,860
20105,20105034012,12,913
20105,20105034013,13,364
20201,20201035001,1,701
20202,20202036001,1,348
20202,20202036002,2,823
20202,20202036003,3,65
20203,20203037001,1,770
20203,20203037002,2,874
20203,20203037003,3,570
20203,20203037004,4,503
20203,20203037005,5,659
20203,20203037006,6,450
20203,20203037007,7,152
20203,20203037008,8,951
20203,20203037009,9,858
20204,20204038001,1,863
20204,20204038002,2,456
20204,20204038003,3,568
20204,20204038004,4,395
20204,20204038005,5,416
20204,20204038006,6,264
20204,20204038007,7,389
20204,20204038008,8,101
20204,20204038009,9,738
20204,20204038010,10,592
20204,20204038011,11,382
20205,20205039001,1,344
20205,20205039002,2,615
20205,20205039003,3,129
20205,20205039004,4,892
20205,20205039005,5,762
20205,20205039006,6,79
20205,20205039007,7,643
20205,20205039008,8,644
20205,20205039009,9,669
20205,20205039010,10,625
20205,20205039011,11,499
20205,20205039012,12,687
20205,20205039013,13,645
20205,20205039014,14,416
20206,20206040001,1,895
20206,20206040002,2,23
20206,20206040003,3,37
20206,20206040004,4,512
20206,20206040005,5,21
20206,20206040006,6,197
20206,20206040007,7,787
20206,20206040008,8,727
20206,20206040009,9,108
20206,20206040010,10,979
20206,20206040011,11,816
20206,20206040012,12,103
20206,20206040013,13,588
20206,20206040014,14,183
20206,20206040015,15,443
20206,20206040016,16,534
20206,20206040017,17,331
20206,20206040018,18,157
20206,20206040019,19,984
20206,20206040020,20,486
20301,20301041001,1,317
20301,20301041002,2,362
20301,20301041003,3,857
20301,20301041004,4,577
20301,20301041005,5,526
20301,20301041006,6,596
20301,20301041007,7,430
20301,20301041008,8,101
20301,20301041009,9,4
20301,20301041010,10,204
20301,20301041011,11,694
20301,20301041012,12,592
20301,20301041013,13,849
20301,20301041014,14,532
20302,20302042001,1,94
20302,20302042002,2,980
20302,20302042003,3,288
20302,20302042004,4,897
20302,20302042005,5,616
20302,20302042006,6,997
20302,20302042007,7,864
20302,20302042008,8,548
20302,20302042009,9,534
20302,20302042010,10,308
20302,20302042011,11,350
20302,20302042012,12,347
20303,20303043001,1,750
20303,20303043002,2,811
20303,20303043003,3,908
20303,20303043004,4,74
20304,20304044001,1,969
20304,20304044002,2,130
20304,20304044003,3,424
20304,20304044004,4,771
20304,20304044005,5,516
20304,20304044006,6,179
20305,20305045001,1,569
20305,20305045002,2,504
20305,20305045003,3,261
20305,20305045004,4,834
20306,20306046001,1,370
20306,20306046002,2,888
20306,20306046003,3,123
20306,20306046004,4,352
20306,20306046005,5,966
20306,20306046006,6,392
20306,20306046007,7,11
20306,20306046008,8,377
20306,20306046009,9,275
20306,20306046010,10,258
20306,20306046011,11,684
20307,20307047001,1,54
20307,20307047002,2,660
20307,20307047003,3,929
20307,20307047004,4,224
20307,20307047005,5,623
20308,20308048001,1,261
20308,20308048002,2,764
20308,20308048003,3,461
20308,20308048004,4,23
20308,20308048005,5,155
20308,20308048006,6,800
20308,20308048007,7,171
20308,20308048008,8,510
20308,20308048009,9,113
20308,20308048010,10,368
20308,20308048011,11,336
20308,20308048012,12,302
20401,20401049001,1,860
20401,20401049002,2,899
20401,20401049003,3,429
20401,20401049004,4,676
20401,20401049005,5,95
20401,20401049006,6,950
20401,20401049007,7,716
20401,20401049008,8,889
20402,20402050001,1,59
20402,20402050002,2,475
20402,20402050003,3,316
20402,20402050004,4,982
20402,20402050005,5,68
20402,20402050006,6,840
20402,20402050007,7,718
20402,20402050008,8,379
20402,20402050009,9,84
20402,20402050010,10,754
20402,20402050011,11,544
20402,20402050012,12,866
20402,20402050013,13,549
20402,20402050014,14,843
20402,20402050015,15,168
20402,20402050016,16,405
20402,20402050017,17,40
20402,20402050018,18,464
20402,20402050019,19,64
20403,20403051001,1,949
20403,20403051002,2,973
20403,20403051003,3,206
20403,20403051004,4,678
20403,20403051005,5,25
20403,20403051006,6,722
20403,20403051007,7,13
20403,20403051008,8,194
20403,20403051009,9,974
20404,20404052001,1,33
20404,20404052002,2,185
20404,20404052003,3,82
20404,20404052004,4,269
20404,20404052005,5,388
20404,20404052006,6,480
20404,20404052007,7,585
20404,20404052008,8,347
20404,20404052009,9,594
20404,20404052010,10,302
20404,20404052011,11,683
20404,20404052012,12,839
20404,20404052013,13,93
20404,20404052014,14,514
20404,20404052015,15,575
20404,20404052016,16,535
20404,20404052017,17,354
20404,20404052018,18,734
20404,20404052019,19,973
20404,20404052020,20,231
20405,20405053001,1,1
20501,20501054001,1,81
20501,20501054002,2,157
20501,20501054003,3,39
20501,20501054004,4,193
20501,20501054005,5,185
20501,20501054006,6,723
20502,20502055001,1,438
20502,20502055002,2,558
20502,20502055003,3,524
20502,20502055004,4,677
20502,20502055005,5,118
20502,20502055006,6,3
20502,20502055007,7,76
20502,20502055008,8,118
20502,20502055009,9,449
20502,20502055010,10,502
20502,20502055011,11,984
20502,20502055012,12,929
20502,20502055013,13,926
20502,20502055014,14,813
20502,20502055015,15,436
20502,20502055016,16,548
20503,20503056001,1,129
20503,20503056002,2,798
20503,20503056003,3,304
20503,20503056004,4,576
20503,20503056005,5,396
20503,20503056006,6,39
20601,20601057001,1,48
20601,20601057002,2,236
20601,20601057003,3,41
20601,20601057004,4,628
20601,20601057005,5,272
20601,20601057006,6,378
20601,20601057007,7,710
20601,20601057008,8,497
20601,20601057009,9,182
20601,20601057010,10,517
20601,20601057011,11,149
20601,20601057012,12,907
20602,20602058001,1,31
20602,20602058002,2,995
20602,20602058003,3,852
20602,20602058004,4,629
20602,20602058005,5,998
20602,20602058006,6,702
20602,20602058007,7,542
20602,20602058008,8,695
20603,20603059001,1,846
20603,20603059002,2,637
20603,20603059003,3,893
20603,20603059004,4,44
20603,20603059005,5,156
20603,20603059006,6,903
20603,20603059007,7,223
20604,20604060001,1,707
20605,20605061001,1,12
20605,20605061002,2,926
20605,20605061003,3,219
20605,20605061004,4,289
20605,20605061005,5,771
20605,20605061006,6,889
20605,20605061007,7,717
20605,20605061008,8,287
20605,20605061009,9,18
20605,20605061010,10,896
20605,20605061011,11,582
20605,20605061012,12,204
20606,20606062001,1,495
20606,20606062002,2,227
20606,20606062003,3,277
20606,20606062004,4,852
20606,20606062005,5,298
20606,20606062006,6,600
20606,20606062007,7,833
20606,20606062008,8,792
20606,20606062009,9,21
20606,20606062010,10,493
20606,20606062011,11,414
20606,20606062012,12,878
20607,20607063001,1,207
20607,20607063002,2,750
20607,20607063003,3,841
20607,20607063004,4,31
20607,20607063005,5,685
20607,20607063006,6,811
20607,20607063007,7,261
20607,20607063008,8,58
20607,20607063009,9,269
20607,20607063010,10,705
20607,20607063011,11,601
20607,20607063012,12,728
20607,20607063013,13,439
20607,20607063014,14,750
20607,20607063015,15,614
20607,20607063016,16,722
20607,20607063017,17,817
20607,20607063018,18,167
20607,20607063019,19,247
20608,20608064001,1,25
20608,20608064002,2,418
20608,20608064003,3,914
20608,20608064004,4,625
20608,20608064005,5,843
20701,20701065001,1,678
20701,20701065002,2,2
20701,20701065003,3,416
20701,20701065004,4,11
20701,20701065005,5,678
20701,20701065006,6,986
20701,20701065007,7,249
20701,20701065008,8,473
20701,20701065009,9,443
20701,20701065010,10,18
20701,20701065011,11,540
20701,20701065012,12,986
20701,20701065013,13,894
20701,20701065014,14,860
20701,20701065015,15,917
20701,20701065016,16,393
20701,20701065017,17,244
20701,20701065018,18,517
20701,20701065019,19,95
20702,20702066001,1,892
20702,20702066002,2,249
20702,20702066003,3,330
20702,20702066004,4,760
20702,20702066005,5,179
20702,20702066006,6,186
20702,20702066007,7,25
20702,20702066008,8,305
20702,20702066009,9,130
20801,20801067001,1,120
20801,20801067002,2,211
20801,20801067003,3,628
20801,20801067004,4,292
20801,20801067005,5,618
20801,20801067006,6,519
20801,20801067007,7,750
20801,20801067008,8,702
20801,20801067009,9,984
20801,20801067010,10,219
20802,20802068001,1,980
20802,20802068002,2,984
20803,20803069001,1,511
20803,20803069002,2,66
20803,20803069003,3,804
20803,20803069004,4,827
20803,20803069005,5,882
20803,20803069006,6,742
20804,20804070001,1,393
20804,20804070002,2,934
20804,20804070003,3,478
20804,20804070004,4,359
20804,20804070005,5,801
20805,20805071001,1,682
20805,20805071002,2,375
20805,20805071003,3,287
20805,20805071004,4,863
20805,20805071005,5,753
20805,20805071006,6,743
20805,20805071007,7,858
20805,20805071008,8,996
20805,20805071009,9,664
20805,20805071010,10,994
20805,20805071011,11,340
20806,20806072001,1,418
20806,20806072002,2,501
20806,20806072003,3,50
20806,20806072004,4,680
20806,20806072005,5,346
20806,20806072006,6,624
20806,20806072007,7,125
20806,20806072008,8,678
20806,20806072009,9,306
20806,20806072010,10,142
20806,20806072011,11,885
20806,20806072012,12,526
20806,20806072013,13,510
20806,20806072014,14,573
20806,20806072015,15,710
20807,20807073001,1,434
20807,20807073002,2,990
20807,20807073003,3,74
20807,20807073004,4,898
20807,20807073005,5,212
20807,20807073006,6,469
20807,20807073007,7,280
20807,20807073008,8,135
20901,20901074001,1,732
20902,20902075001,1,161
20902,20902075002,2,568
20902,20902075003,3,803
20902,20902075004,4,660
20902,20902075005,5,276
20902,20902075006,6,361
20902,20902075007,7,90
20902,20902075008,8,952
20902,20902075009,9,244
20903,20903076001,1,550
20904,20904077001,1,392
20905,20905078001,1,779
20905,20905078002,2,497
20905,20905078003,3,287
20905,20905078004,4,501
20905,20905078005,5,687
20905,20905078006,6,989
20905,20905078007,7,527
20905,20905078008,8,34
20905,20905078009,9,287
21001,21001079001,1,766
21001,21001079002,2,322
21001,21001079003,3,102
21001,21001079004,4,466
21001,21001079005,5,531
21001,21001079006,6,238
21001,21001079007,7,258
21001,21001079008,8,507
21001,21001079009,9,205
21001,21001079010,10,771
21001,21001079011,11,701
21001,21001079012,12,652
21001,21001079013,13,366
21001,21001079014,14,175
21001,21001079015,15,712
21001,21001079016,16,439
21001,21001079017,17,390
21001,21001079018,18,688
21002,21002080001,1,499
21002,21002080002,2,233
21002,21002080003,3,234
21002,21002080004,4,542
21002,21002080005,5,793
21002,21002080006,6,152
21002,21002080007,7,215
21002,21002080008,8,68
21002,21002080009,9,552
21002,21002080010,10,816
21002,21002080011,11,77
21002,21002080012,12,477
21002,21002080013,13,849
21002,21002080014,14,903
21002,21002080015,15,464
21002,21002080016,16,338
21002,21002080017,17,914
21003,21003081001,1,638
21003,21003081002,2,264
21003,21003081003,3,810
21003,21003081004,4,804
21004,21004082001,1,648
21004,21004082002,2,904
21004,21004082003,3,133
21004,21004082004,4,110
21004,21004082005,5,48
21004,21004082006,6,953
21004,21004082007,7,331
21004,21004082008,8,744
21004,21004082009,9,249
21004,21004082010,10,248
21004,21004082011,11,670
21004,21004082012,12,743
21004,21004082013,13,686
21004,21004082014,14,942
21005,21005083001,1,497
21005,21005083002,2,788
21005,21005083003,3,376
21005,21005083004,4,369
21005,21005083005,5,196
21005,21005083006,6,268
21005,21005083007,7,657
21005,21005083008,8,145
21005,21005083009,9,764
21005,21005083010,10,865
21005,21005083011,11,182
21005,21005083012,12,653
21005,21005083013,13,303
21006,21006084001,1,190
21006,21006084002,2,168
21006,21006084003,3,408
21006,21006084004,4,53
21006,21006084005,5,208
21101,21101085001,1,985
21101,21101085002,2,48
21101,21101085003,3,323
21101,21101085004,4,605
21101,21101085005,5,957
21101,21101085006,6,687
21102,21102086001,1,667
21102,21102086002,2,830
21102,21102086003,3,713
21102,21102086004,4,304
21102,21102086005,5,371
21103,21103087001,1,254
21103,21103087002,2,470
21103,21103087003,3,506
21103,21103087004,4,753
21103,21103087005,5,976
21103,21103087006,6,561
21103,21103087007,7,983
21103,21103087008,8,690
21103,21103087009,9,956
21103,21103087010,10,543
21104,21104088001,1,160
21104,21104088002,2,485
21105,21105089001,1,627
21105,21105089002,2,425
21105,21105089003,3,858
21105,21105089004,4,512
21105,21105089005,5,194
21105,21105089006,6,229
21201,21201090001,1,37
21201,21201090002,2,324
21201,21201090003,3,946
21201,21201090004,4,394
21201,21201090005,5,186
21201,21201090006,6,558
21201,21201090007,7,740
21201,21201090008,8,520
21201,21201090009,9,681
21201,21201090010,10,97
21201,21201090011,11,752
21202,21202091001,1,286
21202,21202091002,2,224
21202,21202091003,3,457
21202,21202091004,4,476
21202,21202091005,5,62
21202,21202091006,6,379
21202,21202091007,7,127
21202,21202091008,8,691
21202,21202091009,9,784
21202,21202091010,10,145
21202,21202091011,11,461
21202,21202091012,12,246
21202,21202091013,13,308
21202,21202091014,14,513
21203,21203092001,1,262
21203,21203092002,2,698
21203,21203092003,3,857
21203,21203092004,4,800
21203,21203092005,5,646
21203,21203092006,6,911
21203,21203092007,7,141
21203,21203092008,8,480
21203,21203092009,9,658
21203,21203092010,10,578
21203,21203092011,11,177
21203,21203092012,12,99
21203,21203092013,13,389
21203,21203092014,14,772
21203,21203092015,15,465
21203,21203092016,16,566
21203,21203092017,17,985
21203,21203092018,18,104
21203,21203092019,19,605
21204,21204093001,1,180
21204,21204093002,2,667
21204,21204093003,3,102
21204,21204093004,4,494
21301,21301094001,1,679
21301,21301094002,2,263
21301,21301094003,3,446
21301,21301094004,4,297
21301,21301094005,5,410
21301,21301094006,6,331
21301,21301094007,7,172
21301,21301094008,8,348
21301,21301094009,9,360
21301,21301094010,10,368
21301,21301094011,11,461
21301,21301094012,12,24
21301,21301094013,13,722
21301,21301094014,14,788
21301,21301094015,15,342
21301,21301094016,16,209
21301,21301094017,17,267
21301,21301094018,18,62
21302,21302095001,1,268
21302,21302095002,2,938
21302,21302095003,3,39
21302,21302095004,4,640
21303,21303096001,1,976
21303,21303096002,2,259
21303,21303096003,3,650
21303,21303096004,4,156
21303,21303096005,5,629
21303,21303096006,6,811
21303,21303096007,7,991
21303,21303096008,8,460
21303,21303096009,9,11
21303,21303096010,10,621
21303,21303096011,11,803
21303,21303096012,12,419
21303,21303096013,13,260
21303,21303096014,14,556
21303,21303096015,15,839
21304,21304097001,1,585
21304,21304097002,2,91
21304,21304097003,3,196
21304,21304097004,4,276
21304,21304097005,5,242
21304,21304097006,6,763
21304,21304097007,7,483
21304,21304097008,8,251
21304,21304097009,9,326
21304,21304097010,10,596
21304,21304097011,11,139
21304,21304097012,12,147
21304,21304097013,13,666
21304,21304097014,14,30
21304,21304097015,15,697
21304,21304097016,16,236
21305,21305098001,1,163
21305,21305098002,2,11
21305,21305098003,3,180
21305,21305098004,4,892
21305,21305098005,5,697
21305,21305098006,6,189
21305,21305098007,7,851
21305,21305098008,8,560
21305,21305098009,9,578
21305,21305098010,10,687
21305,21305098011,11,58
21305,21305098012,12,852
21305,21305098013,13,819
21305,21305098014,14,103
21305,21305098015,15,20
21305,21305098016,16,282
21305,21305098017,17,189
21306,21306099001,1,170
21306,21306099002,2,997
21306,21306099003,3,88
21306,21306099004,4,281
21306,21306099005,5,519
21306,21306099006,6,575
21306,21306099007,7,357
21306,21306099008,8,324
21306,21306099009,9,375
21307,21307100001,1,334
21307,21307100002,2,930
21307,21307100003,3,29
21307,21307100004,4,14
21307,21307100005,5,367
21307,21307100006,6,688
21307,21307100007,7,615
21307,21307100008,8,190
21307,21307100009,9,597
21307,21307100010,10,340
21307,21307100011,11,667
21401,21401101001,1,565
21402,21402102001,1,894
21402,21402102002,2,885
21402,21402102003,3,939
21402,21402102004,4,495
21402,21402102005,5,942
21402,21402102006,6,575
21402,21402102007,7,589
21402,21402102008,8,784
21402,21402102009,9,568
21402,21402102010,10,514
21402,21402102011,11,664
21402,21402102012,12,811
21402,21402102013,13,747
21402,21402102014,14,121
21402,21402102015,15,889
21501,21501103001,1,355
21501,21501103002,2,107
21501,21501103003,3,121
21501,21501103004,4,486
21501,21501103005,5,722
21501,21501103006,6,141
21501,21501103007,7,600
21501,21501103008,8,51
21501,21501103009,9,538
21501,21501103010,10,417
21501,21501103011,11,551
21501,21501103012,12,101
21501,21501103013,13,496
21501,21501103014,14,738
21501,21501103015,15,225
21501,21501103016,16,661
21501,21501103017,17,288
21501,21501103018,18,187
21501,21501103019,19,97
21501,21501103020,20,570
21502,21502104001,1,801
21502,21502104002,2,834
21502,21502104003,3,577
21502,21502104004,4,271
21502,21502104005,5,658
21502,21502104006,6,310
21502,21502104007,7,429
21502,21502104008,8,207
21502,21502104009,9,569
21502,21502104010,10,865
21502,21502104011,11,439
21502,21502104012,12,470
21502,21502104013,13,916
21502,21502104014,14,168
21502,21502104015,15,177
21502,21502104016,16,358
21502,21502104017,17,292
21502,21502104018,18,53
21502,21502104019,19,146
21601,21601105001,1,102
21601,21601105002,2,286
21601,21601105003,3,762
21601,21601105004,4,591
21602,21602106001,1,443
21602,21602106002,2,436
21602,21602106003,3,591
21602,21602106004,4,261
21701,21701107001,1,86
21701,21701107002,2,566
21701,21701107003,3,817
21701,21701107004,4,669
21701,21701107005,5,414
21701,21701107006,6,375
21701,21701107007,7,501
21701,21701107008,8,781
21701,21701107009,9,911
21701,21701107010,10,90
21701,21701107011,11,747
21701,21701107012,12,744
21701,21701107013,13,706
21702,21702108001,1,930
21702,21702108002,2,376
21702,21702108003,3,200
21702,21702108004,4,943
21702,21702108005,5,416
21702,21702108006,6,819
21702,21702108007,7,87
21702,21702108008,8,890
21702,21702108009,9,728
21702,21702108010,10,782
21702,21702108011,11,225
21702,21702108012,12,23
21702,21702108013,13,529
21702,21702108014,14,672
21702,21702108015,15,207
21702,21702108016,16,678
21702,21702108017,17,298
21702,21702108018,18,180
21703,21703109001,1,384
21703,21703109002,2,401
21703,21703109003,3,661
21801,21801110001,1,476
21801,21801110002,2,597
21801,21801110003,3,246
21801,21801110004,4,399
21801,21801110005,5,556
21801,21801110006,6,672
21801,21801110007,7,533
21801,21801110008,8,2
21801,21801110009,9,890
21801,21801110010,10,974
21801,21801110011,11,932
21801,21801110012,12,706
21801,21801110013,13,899
21801,21801110014,14,127
21801,21801110015,15,312
21801,21801110016,16,43
21801,21801110017,17,864
21801,21801110018,18,117
21801,21801110019,19,770
21801,21801110020,20,915
21802,21802111001,1,900
21802,21802111002,2,434
21802,21802111003,3,46
21802,21802111004,4,473
21802,21802111005,5,477
21803,21803112001,1,101
21803,21803112002,2,170
21803,21803112003,3,693
21803,21803112004,4,694
21803,21803112005,5,327
21803,21803112006,6,807
21803,21803112007,7,570
21803,21803112008,8,372
21803,21803112009,9,399
21803,21803112010,10,583
21803,21803112011,11,714
21901,21901113001,1,290
21901,21901113002,2,231
21901,21901113003,3,606
21901,21901113004,4,678
21901,21901113005,5,12
21901,21901113006,6,985
21901,21901113007,7,731
21901,21901113008,8,327
21901,21901113009,9,107
21901,21901113010,10,138
21901,21901113011,11,368
21901,21901113012,12,158
21901,21901113013,13,35
21901,21901113014,14,279
21901,21901113015,15,860
21902,21902114001,1,291
21902,21902114002,2,53
21902,21902114003,3,336
21902,21902114004,4,806
21902,21902114005,5,344
21902,21902114006,6,648
21902,21902114007,7,39
21902,21902114008,8,3
21902,21902114009,9,918
