acta_id,departamento,provincia,municipio,recinto,mesa,candidato_1,candidato_2,candidato_3,candidato_4,votos_nulos,votos_blancos,total_votos,ciudadanos_habilitados,observacion
ACTA-1010300027001,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027001,3,21,14,47,13,20,118,144,
ACTA-1010300027002,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027002,34,3,6,90,0,2,135,162,
ACTA-1010300027003,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027003,141,164,34,171,76,111,697,805,
ACTA-1010300027004,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027004,41,75,89,600,9,94,908,940,
ACTA-1010300027005,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027005,1,12,1,33,0,1,48,60,
ACTA-1010300027006,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027006,86,25,89,190,9,86,485,588,
ACTA-1010300027007,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027007,79,29,96,256,52,57,569,569,
ACTA-1010300027008,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027008,88,63,77,94,33,56,411,460,
ACTA-1010300027009,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027009,7,122,72,474,70,40,785,806,
ACTA-1010300027010,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027010,60,55,64,223,25,19,446,479,
ACTA-1010300027011,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027011,99,67,44,154,33,10,407,409,
ACTA-1010300027012,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027012,5,63,14,129,11,13,235,252,
ACTA-1010300027013,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027013,30,52,38,272,31,90,513,593,
ACTA-1010300027014,Chuquisaca,Oropeza,Poroma,(Corcel) Penitenciaria San Sebastian Varones,1010300027014,44,44,46,539,8,15,696,776,
ACTA-1020100041001,Chuquisaca,Azurduy,Azurduy,U.E. Patria Nueva,1020100041001,113,146,126,297,29,24,735,762,
ACTA-1020100041002,Chuquisaca,Azurduy,Azurduy,U.E. Patria Nueva,1020100041002,238,268,7,285,65,44,907,987,
ACTA-1020100041003,Chuquisaca,Azurduy,Azurduy,U.E. Patria Nueva,1020100041003,132,83,69,140,25,95,544,677,
ACTA-1020100041004,Chuquisaca,Azurduy,Azurduy,U.E. Patria Nueva,1020100041004,4,1,4,14,2,4,29,34,
ACTA-1020100045001,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045001,5,58,11,238,13,37,362,423,
ACTA-1020100045002,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045002,0,1,0,6,0,0,7,7,
ACTA-1020100045003,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045003,17,15,16,43,5,18,114,121,
ACTA-1020100045004,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045004,56,21,31,120,9,18,255,262,
ACTA-1020100045005,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045005,2,3,33,192,13,51,294,356,
ACTA-1020100045006,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045006,2,21,41,105,17,0,186,190,
ACTA-1020100045007,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045007,143,97,88,164,66,48,606,684,
ACTA-1020100045008,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045008,32,8,23,463,60,15,601,722,
ACTA-1020100045009,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045009,82,64,77,94,20,13,350,382,
ACTA-1020100045010,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045010,185,216,83,371,37,11,903,933,
ACTA-1020100045011,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045011,7,15,11,13,2,7,55,70,
ACTA-1020100045012,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045012,35,74,31,124,11,31,306,368,
ACTA-1020100045013,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045013,67,61,3,135,10,44,320,338,
ACTA-1020100045014,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045014,110,155,48,259,5,59,636,760,
ACTA-1020100045015,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045015,2,11,6,30,4,0,53,62,
ACTA-1020100045016,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045016,26,20,21,70,12,26,175,214,
ACTA-1020100045017,Chuquisaca,Azurduy,Azurduy,Colegio Francisco Vignaud,1020100045017,9,19,9,20,6,11,74,79,
ACTA-1020100062001,Chuquisaca,Azurduy,Azurduy,U.E. Pedro Domingo Murillo,1020100062001,3,18,2,38,6,10,77,92,
ACTA-1020100062002,Chuquisaca,Azurduy,Azurduy,U.E. Pedro Domingo Murillo,1020100062002,0,149,2,585,30,105,871,893,
ACTA-1020100062003,Chuquisaca,Azurduy,Azurduy,U.E. Pedro Domingo Murillo,1020100062003,6,122,108,210,10,16,472,539,
ACTA-1020100062004,Chuquisaca,Azurduy,Azurduy,U.E. Pedro Domingo Murillo,1020100062004,30,3,7,80,5,2,127,131,
ACTA-1020100062005,Chuquisaca,Azurduy,Azurduy,U.E. Pedro Domingo Murillo,1020100062005,69,106,11,155,43,62,446,528,
ACTA-1030100067001,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067001,123,146,32,161,9,31,502,587,
ACTA-1030100067002,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067002,81,72,178,403,80,81,895,927,
ACTA-1030100067003,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067003,31,3,4,63,11,21,133,144,
ACTA-1030100067004,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067004,34,214,7,408,40,18,721,778,
ACTA-1030100067005,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067005,46,162,152,294,50,105,809,880,
ACTA-1030100067006,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067006,110,101,14,104,9,1,339,341,
ACTA-1030100067007,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067007,174,35,126,203,60,7,605,606,
ACTA-1030100067008,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067008,108,27,56,354,19,0,564,601,
ACTA-1030100067009,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067009,114,10,43,211,6,6,390,405,
ACTA-1030100067010,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067010,24,13,36,76,0,20,169,176,
ACTA-1030100067011,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067011,135,95,158,363,87,35,873,959,
ACTA-1030100067012,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067012,13,57,32,193,14,60,369,440,
ACTA-1030100067013,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067013,60,28,90,360,42,39,619,621,
ACTA-1030100067014,Chuquisaca,Zud��ez,Villa Zud��ez,Unidad Educativa Molinero,1030100067014,109,49,24,175,47,51,455,583,
ACTA-1030200081001,Chuquisaca,Zud��ez,Presto,Colegio Pio XII,1030200081001,89,113,93,297,55,119,766,781,
ACTA-1030200081002,Chuquisaca,Zud��ez,Presto,Colegio Pio XII,1030200081002,126,92,51,191,39,109,608,757,
ACTA-1030200081003,Chuquisaca,Zud��ez,Presto,Colegio Pio XII,1030200081003,62,35,54,106,13,33,303,347,
ACTA-1030200081004,Chuquisaca,Zud��ez,Presto,Colegio Pio XII,1030200081004,104,84,9,176,40,13,426,459,
ACTA-1030200081005,Chuquisaca,Zud��ez,Presto,Colegio Pio XII,1030200081005,32,80,5,166,16,73,372,468,
ACTA-1030200081006,Chuquisaca,Zud��ez,Presto,Colegio Pio XII,1030200081006,12,4,6,26,7,11,66,80,Mesa en lugar distinto: Funcionamiento de la mesa de sufragio en un recinto diferente al autorizado por la autoridad electoral.
ACTA-1030200087001,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087001,5,3,3,24,0,2,37,45,
ACTA-1030200087002,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087002,3,44,33,110,0,23,213,236,
ACTA-1030200087003,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087003,161,101,70,176,18,125,651,788,
ACTA-1030200087004,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087004,15,75,65,274,22,32,483,501,
ACTA-1030200087005,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087005,0,12,12,154,15,33,226,257,
ACTA-1030200087006,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087006,126,37,132,239,71,2,607,734,
ACTA-1030200087007,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087007,24,60,27,72,15,26,224,276,
ACTA-1030200087008,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087008,67,2,54,107,3,0,233,235,
ACTA-1030200087009,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087009,103,165,21,259,57,116,721,752,
ACTA-1030200087010,Chuquisaca,Zud��ez,Presto,Escuela Mixta Dr. Martin Cardenas,1030200087010,6,3,3,22,0,3,37,37,
ACTA-1030300097001,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097001,2,1,1,5,0,1,10,10,
ACTA-1030300097002,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097002,95,3,101,370,40,22,631,702,
ACTA-1030300097003,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097003,132,38,16,252,28,44,510,582,
ACTA-1030300097004,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097004,141,152,17,185,20,78,593,745,
ACTA-1030300097005,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097005,4,72,69,353,55,65,618,706,
ACTA-1030300097006,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097006,79,20,8,327,35,77,546,553,
ACTA-1030300097007,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097007,7,22,25,147,1,5,207,248,
ACTA-1030300097008,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097008,112,82,73,92,20,26,405,421,
ACTA-1030300097009,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097009,31,35,4,34,10,15,129,153,
ACTA-1030300097010,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097010,118,123,50,172,28,43,534,674,
ACTA-1030300097011,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097011,39,53,30,59,7,2,190,233,
ACTA-1030300097012,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097012,62,60,43,23,19,13,220,257,
ACTA-1030300097013,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097013,26,59,39,56,3,15,198,223,
ACTA-1030300097014,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097014,48,20,52,301,61,113,595,721,
ACTA-1030300097015,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097015,124,121,70,90,5,29,439,457,
ACTA-1030300097016,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097016,85,240,2,426,24,80,857,859,
ACTA-1030300097017,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097017,0,18,13,228,2,48,309,331,
ACTA-1030300097018,Chuquisaca,Zud��ez,Villa Mojocoya,Escuela Ladislao Cabrera,1030300097018,16,55,11,204,20,22,328,366,Uso de formularios no oficiales: Llenado de resultados en documentos o formatos no aprobados por el Tribunal Supremo Electoral.
ACTA-1030400115001,Chuquisaca,Zud��ez,Icla,U.E. Joso Carlos Carrillo,1030400115001,99,98,98,326,13,77,711,718,
ACTA-1030400115002,Chuquisaca,Zud��ez,Icla,U.E. Joso Carlos Carrillo,1030400115002,33,30,36,84,15,30,228,266,
ACTA-1030400115003,Chuquisaca,Zud��ez,Icla,U.E. Joso Carlos Carrillo,1030400115003,6,1,21,165,31,47,271,323,
ACTA-1030400115004,Chuquisaca,Zud��ez,Icla,U.E. Joso Carlos Carrillo,1030400115004,95,4,88,372,24,135,718,893,
ACTA-1030400115005,Chuquisaca,Zud��ez,Icla,U.E. Joso Carlos Carrillo,1030400115005,183,18,92,259,61,64,677,699,
ACTA-1030400115006,Chuquisaca,Zud��ez,Icla,U.E. Joso Carlos Carrillo,1030400115006,170,84,83,283,86,117,823,992,
ACTA-1030400121001,Chuquisaca,Zud��ez,Icla,U.E. Carmen Rosa Salguero,1030400121001,57,51,37,97,19,36,297,364,
ACTA-1030400121002,Chuquisaca,Zud��ez,Icla,U.E. Carmen Rosa Salguero,1030400121002,161,34,26,264,31,94,610,745,
ACTA-1030400121003,Chuquisaca,Zud��ez,Icla,U.E. Carmen Rosa Salguero,1030400121003,100,189,71,336,27,20,743,912,
ACTA-1030400121004,Chuquisaca,Zud��ez,Icla,U.E. Carmen Rosa Salguero,1030400121004,209,163,4,239,73,21,709,847,
ACTA-1040100125001,Chuquisaca,Tomina,Padilla,Unidad Educativa Paracti (Villa Tunari),1040100125001,22,128,79,169,53,0,451,542,
ACTA-1040100125002,Chuquisaca,Tomina,Padilla,Unidad Educativa Paracti (Villa Tunari),1040100125002,13,9,14,56,5,0,97,97,
ACTA-1040100125003,Chuquisaca,Tomina,Padilla,Unidad Educativa Paracti (Villa Tunari),1040100125003,2,2,1,6,0,1,12,13,
ACTA-1040100125004,Chuquisaca,Tomina,Padilla,Unidad Educativa Paracti (Villa Tunari),1040100125004,12,38,112,314,43,18,537,645,
ACTA-1040100125005,Chuquisaca,Tomina,Padilla,Unidad Educativa Paracti (Villa Tunari),1040100125005,19,26,10,63,4,3,125,126,
ACTA-1040100125006,Chuquisaca,Tomina,Padilla,Unidad Educativa Paracti (Villa Tunari),1040100125006,188,147,77,152,56,18,638,733,
ACTA-1040100125007,Chuquisaca,Tomina,Padilla,Unidad Educativa Paracti (Villa Tunari),1040100125007,0,7,2,27,0,5,41,48,
ACTA-1040100132001,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132001,134,181,139,182,0,11,647,717,
ACTA-1040100132002,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132002,43,38,32,48,2,11,174,195,
ACTA-1040100132003,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132003,12,182,78,356,38,21,687,714,
ACTA-1040100132004,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132004,124,35,68,144,43,23,437,482,
ACTA-1040100132005,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132005,67,44,143,327,51,21,653,705,
ACTA-1040100132006,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132006,166,84,74,243,41,52,660,722,
ACTA-1040100132007,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132007,217,99,83,307,38,149,893,945,
ACTA-1040100132008,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132008,21,17,93,248,29,60,468,532,
ACTA-1040100132009,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132009,71,125,126,265,45,97,729,774,
ACTA-1040100132010,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132010,5,15,11,77,12,2,122,141,
ACTA-1040100132011,Chuquisaca,Tomina,Padilla,Unidad Educativa 1ro de Mayo,1040100132011,137,112,84,68,27,80,508,520,
ACTA-1040100143001,Chuquisaca,Tomina,Padilla,Nucleo Educativo Chapisirca,1040100143001,23,121,32,336,30,31,573,621,
ACTA-1040100143002,Chuquisaca,Tomina,Padilla,Nucleo Educativo Chapisirca,1040100143002,5,4,14,51,8,8,90,92,
ACTA-1040100143003,Chuquisaca,Tomina,Padilla,Nucleo Educativo Chapisirca,1040100143003,26,26,46,111,3,19,231,257,
ACTA-1040100143004,Chuquisaca,Tomina,Padilla,Nucleo Educativo Chapisirca,1040100143004,16,28,11,41,1,16,113,126,
ACTA-1040100143005,Chuquisaca,Tomina,Padilla,Nucleo Educativo Chapisirca,1040100143005,3,27,33,71,2,15,151,158,
ACTA-1040100143006,Chuquisaca,Tomina,Padilla,Nucleo Educativo Chapisirca,1040100143006,21,9,3,90,16,0,139,173,
ACTA-1040100143007,Chuquisaca,Tomina,Padilla,Nucleo Educativo Chapisirca,1040100143007,67,23,43,75,1,16,225,279,
ACTA-1040200150001,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150001,9,23,5,67,9,9,122,133,
ACTA-1040200150002,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150002,32,33,29,104,3,4,205,215,
ACTA-1040200150003,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150003,154,137,89,67,2,79,528,630,
ACTA-1040200150004,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150004,39,0,33,93,3,14,182,195,
ACTA-1040200150005,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150005,64,85,2,472,54,65,742,917,
ACTA-1040200150006,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150006,4,164,15,304,64,15,566,648,
ACTA-1040200150007,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150007,123,5,32,277,18,45,500,608,
ACTA-1040200150008,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150008,22,44,81,494,23,100,764,845,
ACTA-1040200150009,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150009,0,68,59,167,24,30,348,353,
ACTA-1040200150010,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150010,0,0,0,9,0,1,10,11,
ACTA-1040200150011,Chuquisaca,Tomina,Tomina,U.E. San Antonio,1040200150011,31,53,39,171,30,11,335,377,
ACTA-1040200161001,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161001,93,65,134,264,31,94,681,712,
ACTA-1040200161002,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161002,11,116,119,248,64,49,607,642,
ACTA-1040200161003,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161003,68,56,22,232,12,54,444,444,
ACTA-1040200161004,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161004,73,20,49,372,78,123,715,787,
ACTA-1040200161005,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161005,38,22,58,179,2,8,307,382,
ACTA-1040200161006,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161006,25,14,0,42,8,11,100,110,
ACTA-1040200161007,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161007,61,65,114,236,0,67,543,619,
ACTA-1040200161008,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161008,7,14,30,346,27,28,452,570,
ACTA-1040200161009,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161009,26,21,12,21,6,18,104,119,
ACTA-1040200161010,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161010,168,138,112,76,42,40,576,583,
ACTA-1040200161011,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161011,83,54,29,87,2,23,278,324,
ACTA-1040200161012,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161012,194,12,5,377,72,138,798,923,
ACTA-1040200161013,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161013,131,16,11,234,27,10,429,493,
ACTA-1040200161014,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161014,17,24,17,13,3,0,74,91,
ACTA-1040200161015,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161015,5,34,33,126,18,29,245,261,
ACTA-1040200161016,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161016,125,5,123,252,69,112,686,792,
ACTA-1040200161017,Chuquisaca,Tomina,Tomina,Nucleo Escolar Laguna Grande,1040200161017,12,28,16,81,16,11,164,179,
ACTA-1040300178001,Chuquisaca,Tomina,Sopachuy,Nucleo Educativo Chapisirca,1040300178001,5,8,6,13,1,4,37,39,
ACTA-1040300178002,Chuquisaca,Tomina,Sopachuy,Nucleo Educativo Chapisirca,1040300178002,36,48,59,482,21,51,697,854,
ACTA-1040300178003,Chuquisaca,Tomina,Sopachuy,Nucleo Educativo Chapisirca,1040300178003,2,51,23,87,18,29,210,244,
ACTA-1040300181001,Chuquisaca,Tomina,Sopachuy,Unidad Educativa Moleto Icoya (V.Tunari),1040300181001,2,7,10,29,3,9,60,62,
ACTA-1040300181002,Chuquisaca,Tomina,Sopachuy,Unidad Educativa Moleto Icoya (V.Tunari),1040300181002,205,169,97,154,15,80,720,748,
ACTA-1040300181003,Chuquisaca,Tomina,Sopachuy,Unidad Educativa Moleto Icoya (V.Tunari),1040300181003,20,15,51,368,23,94,571,708,
ACTA-1040300181004,Chuquisaca,Tomina,Sopachuy,Unidad Educativa Moleto Icoya (V.Tunari),1040300181004,0,28,38,115,16,21,218,273,
ACTA-1040300181005,Chuquisaca,Tomina,Sopachuy,Unidad Educativa Moleto Icoya (V.Tunari),1040300181005,31,14,38,287,9,17,396,400,
ACTA-1040400186001,Chuquisaca,Tomina,Villa Alcal�,U.E. Rumy Corral,1040400186001,148,154,111,305,77,4,799,837,
ACTA-1040400186002,Chuquisaca,Tomina,Villa Alcal�,U.E. Rumy Corral,1040400186002,51,112,70,355,46,139,773,989,
ACTA-1040400186003,Chuquisaca,Tomina,Villa Alcal�,U.E. Rumy Corral,1040400186003,229,205,114,276,6,46,876,982,
ACTA-1040400189001,Chuquisaca,Tomina,Villa Alcal�,Unidad Educativa Ramadas,1040400189001,44,84,49,84,9,34,304,314,
ACTA-1040400189002,Chuquisaca,Tomina,Villa Alcal�,Unidad Educativa Ramadas,1040400189002,107,70,78,183,36,5,479,573,
ACTA-1040400189003,Chuquisaca,Tomina,Villa Alcal�,Unidad Educativa Ramadas,1040400189003,8,30,30,382,20,84,554,636,
ACTA-1040400189004,Chuquisaca,Tomina,Villa Alcal�,Unidad Educativa Ramadas,1040400189004,58,73,55,42,28,23,279,324,
ACTA-1040400189005,Chuquisaca,Tomina,Villa Alcal�,Unidad Educativa Ramadas,1040400189005,1,0,1,4,0,0,6,6,
ACTA-1040400189006,Chuquisaca,Tomina,Villa Alcal�,Unidad Educativa Ramadas,1040400189006,78,111,24,182,11,1,407,427,
ACTA-1040400189007,Chuquisaca,Tomina,Villa Alcal�,Unidad Educativa Ramadas,1040400189007,14,13,68,344,31,27,497,557,
